color,team name,game duration,score,goals,assists,saves,shots,shots conceded,goals conceded,shooting percentage,bpm,avg boost amount,amount collected,amount collected big pads,amount collected small pads,count collected big pads,count collected small pads,amount stolen,amount stolen big pads,amount stolen small pads,count stolen big pads,count stolen small pads,0 boost time,100 boost time,amount used while supersonic,amount overfill total,amount overfill stolen,total distance,time slow speed,time boost speed,time supersonic speed,time on ground,time low in air,time high in air,time powerslide,count powerslide,time behind ball,time in front of ball,time defensive half,time offensive half,time defensive third,time neutral third,time offensive third,time ball possession,time ball in own side,demos inflicted,demos taken
blue,OTTAWA,352,564,1,1,1,5,6,4,20,1195,143.68,6730,4576,2154,56,192,1406,714,692,9,60,93.88,138.15,778,933,198,1480798,497.49,404.71,144.49,567.35,403.1,76.24,26.08,213,722.7,324,717.03,329.67,558.85,296.94,190.9,137.52,190.9,2,3
orange,CAL POLY,352,1174,4,3,3,6,5,1,66.67,1240,156.9,7173,5173,2000,62,168,1757,1105,652,12,53,103.21,100.85,856,958,95,1562359,446.76,410.25,190.65,585.35,380.65,81.66,22.71,224,804.92,242.75,639.41,408.26,445.91,385.25,216.51,145.02,135.9,3,2
blue,OTTAWA,329,741,1,1,3,4,4,0,25,1111,149.46,6010,3845,2165,47,186,1483,714,769,8,60,85.41,86.82,752,916,92,1408824,445.19,393.93,134.09,520.66,392.87,59.69,22.68,206,725.08,248.13,627.08,346.14,451.03,318.08,204.11,149.65,163.7,2,5
orange,CAL POLY,329,632,0,0,3,4,4,1,0,1222,159.69,6719,4722,1997,61,175,1952,1380,572,17,51,64.3,133.78,1042,1376,211,1488876,425.36,389.74,167.32,568.86,343.19,70.36,22.04,196,691.44,290.96,612.53,369.87,446.05,321.39,214.96,160.41,160.75,5,2
blue,OTTAWA,339,965,1,1,6,4,9,0,25,1162,157.74,6721,4283,2438,50,218,1378,689,689,8,59,93.02,91.45,702,809,109,1457440,463.87,422.53,112.61,555.25,377.54,66.24,23.94,212,757.84,241.17,696.44,302.59,538.83,276.53,183.65,177.22,189.63,5,6
orange,CAL POLY,339,632,0,0,3,9,4,1,0,1300,157.57,7257,4988,2269,62,200,1597,819,778,10,73,79.98,119.82,1158,1174,192,1542206,425.48,395.66,180.91,561.1,361.57,79.37,19.26,195,658.32,343.73,560.1,441.96,388.85,326.44,286.75,144.14,144.49,6,5
blue,COLUMBIA,370,1912,6,5,6,8,10,1,75,1241,153.47,7560,5397,2163,66,198,1604,1024,580,14,54,93.18,136.78,1005,1269,390,1549843,507.44,413.2,171.33,619.43,411.38,61.17,26.57,271,810.6,281.37,757.88,333.99,584.28,325.53,182.17,149.65,165.19,2,4
orange,KEYANO,370,706,1,1,1,10,8,6,10,1260,143.21,7816,5329,2487,63,216,1755,925,830,11,70,131,83.17,1086,1011,176,1637886,437.89,484.24,178.31,599.97,440.66,59.82,21.34,194,762.67,337.79,694.08,406.37,504.97,356.34,239.14,125.09,169.7,4,2
blue,COLUMBIA,358,1461,5,4,4,10,5,0,50,1306,166.85,7902,5614,2288,75,208,1758,995,763,13,67,112.99,154.99,939,1945,320,1574686,465.65,411.85,190.26,638.03,356.3,73.43,27.16,264,823.5,244.26,621.31,446.46,432.32,380.14,255.31,128.83,120.3,2,2
orange,KEYANO,358,729,0,0,4,5,10,5,0,1094,149.87,6486,4249,2237,53,197,1196,628,568,8,50,108.95,90.71,667,1100,179,1504272,514.58,401.78,148.03,583,419.58,61.8,19.03,178,721.1,343.28,782.63,281.76,608.14,309.87,146.37,156.78,212.21,2,2
